Red Mullet|52032.38394344653|0.23857447390215686|00001.png
Red Mullet|81686.70235746703|0.23534049509616084|00002.png
Red Mullet|51055.5638590157|0.24153011320891898|00003.png
Horse Mackerel|62484.91071913381|0.23851608125414972|00002.png
Horse Mackerel|34618.34543185782|0.24146766845736206|00003.png
Horse Mackerel|23033.73408532382|0.2349261657959052|00021.png
Striped Red Mullet|77076.15232631122|0.24580154166321294|00001.png
Striped Red Mullet|106044.07434269939|0.24482608526333996|00003.png
Striped Red Mullet|29691.07743174235|0.22121313489614|00034.png
Sea Bass|4592.658712797334|0.23039717941570043|1.png
Trout|55480.051430183754|0.24008915450732538|00001.png
Gilt Head Bream|144440.5296777989|0.23541871885306867|1.png
Sea Bass|10134.748629033313|0.2377661252043898|2.png
Trout|109371.44555525598|0.23652214479600195|5.png
Red Sea Bream|18722.66031054154|0.23563318353833515|100_1461.png
Red Sea Bream|31680.412797296867|0.24502202009412782|100_1462.png

